name,EoI,lon,lat,alt,location,type,PM10,PM2_5,NOx,SO2,O3,CO,Benzen,As__Cd__Ni,BaP,parcela,list_vlast,kataster,code,geometry
"Malacky, Mierové námestie",SK0407A,17.019052,48.436842999999996,165.0,U,T,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2869,2414.0,Malacky,99132,POINT (17.019052 48.436843)
"Bratislava, Jeséniova",SK0048A,17.106209,48.167952,283.0,S,B,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6719/15,3013.0,Vinohrady,11813,POINT (17.106209 48.167952)
"Chopok, EMEP",SK0002R,19.589236,48.94362,1958.0,R,B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2439,237.0,Demänovská dolina,11916,POINT (19.589236 48.94362)
"Gánovce, Meteo. st.",SK0041A,20.322844,49.034601,682.0,R,B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,566,246.0,Gánovce,11952,POINT (20.322844 49.034601)
Kojšovská hola,SK0042A,20.987112,48.782875,1230.0,R,B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1390/2,630.0,Kojšov,11958,POINT (20.987112 48.782875)
"Bratislava, Mamateyova",SK0001A,17.1254,48.124691999999996,134.0,U,B,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,424/4,2180.0,Petržalka,99111,POINT (17.1254 48.124692)
"Bratislava, Trnavské Mýto",SK0002A,17.128891,48.158359000000004,140.0,U,T,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,C 11246,1.0,Bratislava- Nové mesto,99112,POINT (17.128891 48.158359)
"Bratislava, Kamenné nám.",SK0004A,17.113543,48.14467,146.0,U,B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C 8590/6,1656.0,Bratislava- Staré mesto,99114,POINT (17.113543 48.14467)
"Senica, Hviezdoslavova",SK0021A,17.36311,48.680681,207.0,U,T,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,669/1,3353.0,Senica,99122,POINT (17.36311 48.680681)
"Trnava, Kollárova",SK0045A,17.584926,48.371385,144.0,U,T,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8696,4582.0,Trnava,99123,POINT (17.584926 48.371385)
"Trencín, Hasicská",SK0047A,18.04124,48.896419,216.0,U,T,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3316/8,2562.0,Trenčín,99128,POINT (18.04124 48.896419)
